,,Curriculum,,Normal,
0,,2.303,,2.303,2.303
1,,2.303,44.467,2.303,2.303
2,,2.303,27.03,2.302,2.302
3,,2.302,43.693,2.302,2.302
4,,2.299,25.019,2.301,2.301
5,,2.289,42.462,2.299,2.299
6,,2.274,23.533,2.301,2.301
7,,2.316,41.11,2.284,2.284
8,,2.241,21.807,2.311,2.311
9,,2.277,39.501,2.274,2.274
10,,2.272,,2.265,2.265
11,,2.269,,2.213,2.213
12,,2.267,,2.119,2.119
13,,2.255,,1.886,1.886
14,,2.265,,1.944,1.944
15,,2.25,,2.04,2.04
16,,2.217,,1.761,1.761
17,,2.122,,2.121,2.121
18,,2,,1.818,1.818
19,,2.026,,1.7,1.7
20,,1.92,0,1.796,1.796
21,,1.993,,1.824,1.824
22,,1.839,,1.733,1.733
23,,1.728,,1.708,1.708
24,,1.642,,1.602,1.602
25,,1.653,,1.523,1.523
26,,1.558,,1.427,1.427
27,,1.537,,1.465,1.465
28,,1.411,,1.104,1.104
29,,1.24,,1.56,1.56
30,,1.339,,1.726,1.726
31,,1.172,,1.492,1.492
32,,1.173,,1.352,1.352
33,,0.993,,1.307,1.307
34,,1.043,,1.454,1.454
35,,1.146,,1.461,1.461
36,,1.001,,1.551,1.551
37,,1.292,,1.318,1.318
38,,1.124,,1.25,1.25
39,,1.047,,1.465,1.465
40,,1.099,27.03,1.343,1.343
41,,0.957,,1.33,1.33
42,,0.864,,1.737,1.737
43,,0.974,,1.406,1.406
44,,0.91,,1.341,1.341
45,,0.734,,1.46,1.46
46,,0.751,,1.249,1.249
47,,0.919,,1.342,1.342
48,,0.717,,1.329,1.329
49,,0.827,,1.211,1.211
50,,0.854,,1.26,1.26
51,,0.961,,1.221,1.221
52,,0.99,,1.184,1.184
53,,0.944,,1.341,1.341
54,,0.998,,1.276,1.276
55,,1.177,,1.318,1.318
56,,1.004,,1.385,1.385
57,,0.997,,1.082,1.082
58,,1.015,,1.231,1.231
59,,1.011,,1.11,1.11
60,,0.974,18.578,1.112,1.112
61,,0.93,,1.019,1.019
62,,0.877,,1.471,1.471
63,,0.808,,1.046,1.046
64,,0.845,,1.263,1.263
65,,0.786,,1.386,1.386
66,,0.759,,1.158,1.158
67,,0.882,,1.304,1.304
68,,0.766,,1.316,1.316
69,,0.834,,1.438,1.438
70,,0.806,,1.213,1.213
71,,0.837,,1.283,1.283
72,,0.876,,1.17,1.17
73,,0.907,,1.175,1.175
74,,0.939,,1.171,1.171
75,,0.833,,1.044,1.044
76,,0.767,,0.96,0.96
77,,0.746,,1.105,1.105
78,,0.878,,1.148,1.148
79,,0.669,,1.063,1.063
80,,0.633,16.378,0.941,0.941
81,,0.606,,1.105,1.105
82,,0.888,,1.077,1.077
83,,0.73,,1.268,1.268
84,,0.768,,1.254,1.254
85,,0.507,,1.185,1.185
86,,0.586,,1.123,1.123
87,,0.729,,0.941,0.941
88,,0.788,,0.991,0.991
89,,0.695,,1.038,1.038
90,,0.788,,1.077,1.077
91,,0.733,,0.936,0.936
92,,0.67,,1.137,1.137
93,,0.519,,0.975,0.975
94,,0.668,,1.024,1.024
95,,0.671,,0.783,0.783
96,,0.496,,0.995,0.995
97,,0.637,,0.998,0.998
98,,0.622,,0.872,0.872
99,,0.559,,0.878,0.878
100,,0.625,13.285,1.018,1.018
101,,0.797,,0.773,0.773
102,,0.655,,0.88,0.88
103,,0.699,,1.382,1.382
104,,0.475,,0.82,0.82
105,,0.574,,0.76,0.76
106,,0.578,,0.766,0.766
107,,0.672,,1.058,1.058
108,,0.623,,0.939,0.939
109,,0.894,,0.994,0.994
110,,0.653,,1.025,1.025
111,,0.534,,0.741,0.741
112,,0.764,,0.813,0.813
113,,0.685,,0.955,0.955
114,,0.646,,0.767,0.767
115,,0.576,,0.654,0.654
116,,0.6,,0.963,0.963
117,,0.635,,0.799,0.799
118,,0.735,,0.756,0.756
119,,0.617,,0.583,0.583
120,,0.701,13.113,0.699,0.699
121,,0.623,,1.138,1.138
122,,0.614,,0.884,0.884
123,,0.544,,1.065,1.065
124,,0.573,,0.756,0.756
125,,0.605,,0.823,0.823
126,,0.532,,1.203,1.203
127,,0.757,,0.967,0.967
128,,0.467,,0.984,0.984
129,,0.644,,0.776,0.776
130,,0.514,,0.706,0.706
131,,0.409,,1.01,1.01
132,,0.404,,0.641,0.641
133,,0.562,,0.796,0.796
134,,0.441,,0.982,0.982
135,,0.421,,0.931,0.931
136,,0.498,,0.888,0.888
137,,0.49,,1.086,1.086
138,,0.327,,1.026,1.026
139,,0.367,,0.725,0.725
140,,0.309,10.101,0.977,0.977
141,,0.561,,0.868,0.868
142,,0.36,,0.895,0.895
143,,0.432,,1.032,1.032
144,,0.841,,0.752,0.752
145,,0.551,,0.574,0.574
146,,0.862,,0.539,0.539
147,,0.675,,0.861,0.861
148,,0.602,,0.608,0.608
149,,0.509,,0.489,0.489
150,,0.403,,0.893,0.893
151,,0.474,,0.577,0.577
152,,0.448,,1.009,1.009
153,,0.494,,0.402,0.402
154,,0.498,,0.556,0.556
155,,0.457,,0.894,0.894
156,,0.516,,0.736,0.736
157,,0.499,,0.591,0.591
158,,0.479,,0.74,0.74
159,,0.498,,0.99,0.99
160,,0.514,10.673,0.688,0.688
161,,0.623,,0.888,0.888
162,,0.491,,0.952,0.952
163,,0.882,,0.674,0.674
164,,0.525,,0.614,0.614
165,,0.475,,1.056,1.056
166,,0.456,,0.737,0.737
167,,0.426,,0.659,0.659
168,,0.487,,0.692,0.692
169,,0.48,,0.633,0.633
170,,0.48,,0.848,0.848
171,,0.668,,0.937,0.937
172,,0.557,,0.834,0.834
173,,0.573,,0.542,0.542
174,,0.474,,0.575,0.575
175,,0.407,,0.656,0.656
176,,0.39,,0.804,0.804
177,,0.343,,1.006,1.006
178,,0.383,,0.587,0.587
179,,0.513,,0.909,0.909
180,,0.409,10.042,0.677,0.677
181,,0.433,,0.715,0.715
182,,0.483,,1.21,1.21
183,,0.474,,0.602,0.602
184,,0.495,,0.499,0.499
185,,0.523,,0.539,0.539
186,,0.416,,0.596,0.596
187,,0.297,,0.778,0.778
188,,0.345,,1.398,1.398
189,,0.306,,0.712,0.712
190,,0.37,,0.827,0.827
191,,0.489,,0.57,0.57
192,,0.413,,0.948,0.948
193,,0.487,,0.824,0.824
194,,0.678,,0.923,0.923
195,,0.371,,0.862,0.862
196,,0.298,,0.616,0.616
197,,0.237,,0.716,0.716
198,,0.247,,0.612,0.612
199,,0.224,,0.606,0.606
200,,0.233,7.819,1.006,1.006
201,,0.321,,0.443,0.443
202,,0.227,,0.576,0.576
203,,0.229,,0.742,0.742
204,,0.22,,0.463,0.463
205,,0.396,,0.876,0.876
206,,0.395,,0.504,0.504
207,,0.274,,1.062,1.062
208,,0.281,,0.658,0.658
209,,0.359,,0.368,0.368
210,,0.158,,0.532,0.532
211,,0.198,,0.433,0.433
212,,0.178,,0.613,0.613
213,,0.212,,0.832,0.832
214,,0.238,,0.572,0.572
215,,0.318,,0.511,0.511
216,,0.353,,0.384,0.384
217,,0.275,,0.596,0.596
218,,0.224,,1.056,1.056
219,,0.259,,0.363,0.363
220,,0.324,5.439,0.748,0.748
